nohup: ignoring input
Morgan connected..
(node:595298) [MONGOOSE] DeprecationWarning: Mongoose: the `strictQuery` option will be switched back to `false` by default in Mongoose 7. Use `mongoose.set('strictQuery', false);` if you want to prepare for this change. Or use `mongoose.set('strictQuery', true);` to suppress this warning.
(Use `node --trace-deprecation ...` to show where the warning was created)
Server is listening on port : 5000
(node:595298) NOTE: The AWS SDK for JavaScript (v2) has reached end-of-support.
It will no longer receive updates or releases.

Please migrate your code to use AWS SDK for JavaScript (v3).
For more information, check the blog post at https://a.co/cUPnyil
Database connected successfully
POST /setting 404 147 - 2.044 ms
GET / 200 50 - 2.895 ms
GET /api/env_variables/get-one?page=1&size=20 401 121 - 0.923 ms
GET /api/user_roles/get-all-except-admin 200 - - 18.548 ms
GET /api/env_variables/public?page=1&size=20 200 385 - 4.143 ms
GET / 304 - - 0.404 ms
GET /api/site_settings/get-one 200 772 - 5.292 ms
GET /api/site_settings/get-one 304 - - 8.161 ms
GET /api/user_roles/get-all-except-admin 304 - - 10.408 ms
GET /api/site_settings/get-one 304 - - 10.897 ms
GET /api/frontPage/home 304 - - 18.556 ms
GET /api/feedbacks/get-all 304 - - 19.776 ms
GET /api/frontPage/get-all 304 - - 22.393 ms
GET /api/user/verify 401 121 - 0.696 ms
GET /api/user_roles/get-all-except-admin 304 - - 6.079 ms
GET /api/site_contents_about/get-one 304 - - 10.390 ms
GET /api/site_settings/get-one 304 - - 9.649 ms
GET /api/frontPage/get-all 304 - - 9.400 ms
GET /api/user_roles/get-all-except-admin 304 - - 9.254 ms
GET /api/frontPage/home 304 - - 14.128 ms
{"level":"INFO","message":"Tawk outbound endpoint hit","timestamp":"2026-03-20T05:47:10.275Z","source":"tawk-outbound","method":"POST","path":"/tawk-outbound","ip":"::ffff:172.18.0.2"}
{"level":"INFO","message":"hello socket outbound","timestamp":"2026-03-20T05:47:10.275Z","source":"tawk-outbound","chatId":"test123"}
{"level":"INFO","message":"Tawk outbound socket emitted","timestamp":"2026-03-20T05:47:10.276Z","source":"tawk-outbound","outboundEvent":{"chatId":"test123","message":"hello socket outbound","createdAt":"2026-03-20T05:47:10.275Z"}}
{"level":"INFO","message":"Tawk outbound processed","timestamp":"2026-03-20T05:47:10.276Z","source":"tawk-outbound","chatId":"test123","stage":"outbound-socket-emitted"}
POST /tawk-outbound 200 128 - 2.296 ms
GET / 304 - - 0.271 ms
GET /api/env_variables/get-one?page=1&size=20 401 121 - 0.268 ms
GET /api/site_settings/get-one 304 - - 8.808 ms
GET /api/user_roles/get-all-except-admin 304 - - 7.975 ms
GET /api/env_variables/public?page=1&size=20 304 - - 6.744 ms
GET /api/site_settings/get-one 304 - - 4.292 ms
